file,n,mean,std,min,max,p5,p95,range,rms
Mesures27062024_237.txt,1000,21964.39647,4329.097905582252,14577.77,29336.86,15186.2525,28763.386000000002,14759.09,22386.95604514971
Mesures27062024_238.txt,1000,22019.5185,4349.129926437626,14603.12,29410.32,15228.4015,28838.4335,14807.199999999999,22444.913145050876
Mesures27062024_239.txt,1000,21933.49411,4340.020900029608,14601.01,29310.36,15225.247,28776.285499999998,14709.35,22358.755450295048
Mesures27062024_24.txt,1000,15055.45236,2960.143327046653,9982.81,20066.4,10393.7025,19642.692499999997,10083.590000000002,15343.698846135127
Mesures27062024_240.txt,1000,7065.87464,1395.523617221246,4716.38,9462.59,4907.625,9260.0625,4746.21,7202.365624877523
Mesures27062024_241.txt,1000,21993.8998,4366.866398535037,14623.35,29340.2,15235.209,28804.4315,14716.85,22423.227924522696
Mesures27062024_242.txt,1000,22189.534159999996,4419.983316828684,14710.75,29755.31,15319.210500000001,29138.438000000002,15044.560000000001,22625.465271654655
Mesures27062024_243.txt,1000,7182.865859999999,1418.841875602937,4742.47,9720.33,4977.2095,9415.717499999999,4977.86,7321.657888123291
Mesures27062024_244.txt,1000,7045.78242,1403.1361417972753,4675.62,9467.73,4868.673000000001,9260.4975,4792.11,7184.138148894326
Mesures27062024_245.txt,1000,7162.171189999999,1425.0836279544733,4714.66,9682.58,4957.236,9408.529999999999,4967.92,7302.5721154624625
Mesures27062024_246.txt,1000,7084.69248,1386.4425516479396,4736.52,9477.45,4933.9645,9268.7485,4740.93,7219.078229607198
Mesures27062024_247.txt,1000,22545.248,4489.17017152999,14935.81,30063.3,15547.4565,29548.189499999997,15127.49,22987.84148654368
Mesures27062024_248.txt,1000,7088.38242,1399.0517853391787,4729.42,9502.57,4925.642,9296.8835,4773.15,7225.130533784549
Mesures27062024_249.txt,1000,7113.7554900000005,1395.4100807404106,4756.24,9523.43,4951.2415,9318.11,4767.1900000000005,7249.323172885666
Mesures27062024_25.txt,1000,15256.748260000002,2996.011472468951,10122.27,20326.95,10537.93,19903.278000000002,10204.68,15548.133399613556
Mesures27062024_250.txt,1000,7056.35558,1391.9042955437935,4694.35,9446.49,4887.119,9237.413499999999,4752.139999999999,7192.325885230062
Mesures27062024_251.txt,1000,7149.386310000001,1417.185589526539,4757.27,9590.48,4950.012500000001,9379.002999999999,4833.209999999999,7288.493644421808
Mesures27062024_252.txt,1000,7049.11098,1392.5663766297243,4705.86,9442.74,4898.0019999999995,9238.719000000001,4736.88,7185.346666770935
Mesures27062024_253.txt,1000,7212.42258,1425.099147334228,4812.11,9651.95,5006.2115,9444.831,4839.840000000001,7351.866909311308
Mesures27062024_254.txt,1000,7201.609300000001,1427.6528573033117,4781.0,9657.2,4974.6115,9446.965,4876.200000000001,7341.755184614426
Mesures27062024_255.txt,1000,22293.26566,4392.4896403727535,14855.0,29673.1,15482.9025,29169.2255,14818.099999999999,22721.87622156492
Mesures27062024_256.txt,1000,7197.58131,1420.8818380526875,4783.82,9636.58,4983.5615,9428.1145,4852.76,7336.4897540833035
Mesures27062024_257.txt,1000,7197.85192,1431.7335358481737,4772.26,9669.06,4970.913,9457.16,4896.799999999999,7338.8645702124795
Mesures27062024_258.txt,1000,7134.06757,1407.4801026832297,4754.92,9541.51,4955.804499999999,9339.936,4786.59,7271.583069234299
Mesures27062024_259.txt,1000,22716.488940000003,4510.233774132187,15065.36,30296.52,15683.164,29780.9415,15231.16,23159.90238447617
Mesures27062024_26.txt,1000,14939.486560000001,2917.532842924029,9923.07,19864.32,10333.293000000001,19444.005999999998,9941.25,15221.703471226898
Mesures27062024_260.txt,1000,7070.8202200000005,1390.0870978750763,4720.42,9457.57,4912.798000000001,9255.311,4737.15,7206.16685369133
Mesures27062024_261.txt,1000,7160.56198,1411.5711663641616,4770.06,9590.0,4963.4775,9384.3675,4819.94,7298.368381161107
Mesures27062024_262.txt,1000,7200.807569999999,1435.6486662973623,4786.91,9684.67,4981.4105,9473.675,4897.76,7342.527953859672
Mesures27062024_263.txt,1000,7123.56249,1421.1804021585367,4731.14,9574.6,4925.4025,9362.5635,4843.46,7263.944953289122
Mesures27062024_264.txt,1000,7212.58653,1448.463823594935,4780.18,9714.14,4983.0505,9504.6795,4933.959999999999,7356.5924109604375
Mesures27062024_265.txt,1000,23027.09647,4580.429769087661,15297.18,30681.43,15920.6585,30159.2995,15384.25,23478.234786887853
Mesures27062024_266.txt,1000,22018.52332,4398.044074173266,14593.67,29501.48,15196.124000000002,28941.996499999997,14907.81,22453.466566919113
Mesures27062024_267.txt,1000,7176.4604899999995,1418.1369558303104,4781.86,9626.98,4978.153,9413.950499999999,4845.12,7315.237357052928
Mesures27062024_268.txt,1000,7217.350200000001,1429.5196236309455,4808.01,9697.43,5009.3135,9482.1675,4889.42,7357.558716298906
Mesures27062024_269.txt,1000,22275.8559,4468.229792149324,14706.19,29871.44,15367.3225,29327.920499999997,15165.249999999998,22719.56939629393
Mesures27062024_27.txt,1000,15025.693190000002,2924.3317102006613,10002.66,19972.24,10414.522,19547.8145,9969.580000000002,15307.618096598095
Mesures27062024_270.txt,1000,22070.767979999997,4389.759223000792,14664.33,29521.84,15279.7315,28951.48,14857.51,22503.08390560978
Mesures27062024_271.txt,1000,7114.98143,1414.8964590777146,4725.17,9550.66,4919.295999999999,9342.663,4825.49,7254.301671364067
